Name,Team,PTS,AST,REB,3PM
Duncan Robinson,MIA,14.5,2.7,2.7,3.1
Max Strus,CLE,14.4,3.8,5.8,2.9
De'Andre Hunter,ATL,14.4,1.3,4.2,1.9
Jae Crowder,MIL,8.1,1.7,3.9,1.8
Tre Jones,SAS,8.1,5.1,3.0,0.5
Marcus Sasser,DET,8.1,2.6,2.1,1.3
Kelly Olynyk,UTA,8.0,3.9,5.9,0.8
Andrew Nembhard,IND,8.0,4.0,1.9,0.8
Brandon Miller,CHA,14.1,1.9,4.1,1.5
Jalen Johnson,ATL,14.1,2.4,7.3,1.1
Zach Collins,SAS,14.1,3.8,6.3,1.1
Spencer Dinwiddie,BRK,14.1,6.3,3.7,2.3
Austin Reaves,LAL,14.0,5.2,5.1,1.4
Georges Niang,CLE,7.9,1.1,4.0,1.6
Landry Shamet,WAS,7.9,1.3,1.5,1.5
Royce O'Neale,BRK,7.9,3.2,5.3,2.4
David Roddy,MEM,7.9,1.0,3.8,0.8
Skylar Mays,POR,7.8,4.5,1.7,0.9
Danilo Gallinari,WAS,7.6,1.6,3.2,0.7
Jabari Walker,POR,7.6,0.6,4.4,0.6
Moses Moody,GSW,7.5,1.1,3.5,1.1
Cam Reddish,LAL,7.4,1.1,2.5,1.0
Drew Eubanks,PHX,7.3,1.6,4.6,0.1
Buddy Hield,IND,13.9,2.6,3.0,3.3
Gordon Hayward,CHA,13.9,4.5,5.2,0.9
Derrick White,BOS,13.9,5.0,3.8,2.1
Mark Williams,CHA,13.5,1.3,10.1,0.0
Coby White,CHI,13.4,4.1,2.9,2.5
Dillon Brooks,HOU,13.4,1.9,3.8,1.9
Jordan Hawkins,NOP,13.4,2.1,4.0,2.8
Brook Lopez,MIL,13.3,1.1,5.2,1.8
Haywood Highsmith,MIA,7.3,1.7,3.1,1.2
T.J. McConnell,IND,7.3,3.7,2.4,0.1
Kyle Anderson,MIN,7.3,4.0,3.8,0.1
Patrick Williams,CHI,7.2,1.2,3.8,1.1
Josh Hart,NYK,7.1,2.7,6.1,0.9
Christian Wood,LAL,7.1,0.8,5.9,0.8
Keegan Murray,SAC,13.2,2.0,6.2,2.1
"Jabari Smith, Jr.",HOU,13.2,1.3,7.7,1.8
Malik Monk,SAC,13.2,5.0,2.8,2.4
Norman Powell,LAC,13.1,1.2,2.1,2.1
Aaron Gordon,DEN,13.1,3.8,7.2,0.5
Goga Bitadze,ORL,7.1,1.7,6.1,0.0
Robert Williams,POR,6.8,0.8,6.3,0.0
Josh Green,DAL,6.8,2.3,2.7,1.3
Quentin Grimes,NYK,6.8,1.3,1.4,1.9
Chris Boucher,TOR,6.7,0.4,4.5,0.7
Jonas Valanciunas,NOP,13.1,2.5,8.7,0.8
Josh Okogie,PHX,6.7,1.1,3.2,0.6
Cason Wallace,OKC,6.7,1.6,2.3,0.9
Jonathan Isaac,ORL,6.6,0.4,4.4,0.6
Day'Ron Sharpe,BRK,6.6,0.7,6.6,0.0
Jaden Hardy,DAL,6.5,1.1,1.5,0.8
Ben Simmons,BRK,6.5,6.7,10.8,0.0
Doug McDermott,SAS,6.4,1.8,1.1,1.6
Matisse Thybulle,POR,6.3,1.2,1.6,1.4
Jordan Goodwin,PHX,6.3,2.1,3.5,1.1
Al Horford,BOS,6.3,2.5,6.5,1.1
Mitchell Robinson,NYK,6.3,0.5,11.3,0.0
JaVale McGee,SAC,6.2,0.5,3.9,0.0
Jae'sean Tate,HOU,6.1,1.3,4.0,0.8
Nickeil Alexander-Walker,MIN,6.1,2.6,2.0,1.3
Toumani Camara,POR,6.1,1.2,4.4,0.8
Kevon Looney,GSW,6.1,2.9,9.1,0.0
Cameron Payne,MIL,6.1,2.4,1.4,1.3
Payton Pritchard,BOS,6.1,2.9,3.1,1.1
Jeff Green,HOU,5.9,0.5,2.5,0.4
Gary Payton II,GSW,5.8,0.9,3.0,0.7
MarJon Beauchamp,MIL,5.8,1.0,2.3,0.9
Malachi Flynn,TOR,5.8,2.2,2.1,1.0
Nicolas Batum,PHI,5.8,1.5,3.6,1.5
Dennis Smith,BRK,5.8,3.2,2.3,0.6
Isaiah Hartenstein,NYK,5.8,0.9,4.8,0.1
Keita Bates-Diop,PHX,5.8,1.0,3.6,0.6
Simone Fontecchio,UTA,5.8,0.4,1.9,1.4
Sasha Vezenkov,SAC,5.8,0.3,1.9,1.2
Pat Connaughton,MIL,5.7,2.1,3.6,1.1
Shake Milton,MIN,5.7,1.4,2.1,0.5
Aaron Holiday,HOU,5.7,1.6,1.6,0.9
Stanley Umude,DET,5.6,0.5,1.8,1.0
Andre Drummond,CHI,5.6,0.6,6.0,0.0
Yuta Watanabe,PHX,5.5,0.6,2.5,1.4
Ayo Dosunmu,CHI,5.3,1.3,1.6,0.8
Jevon Carter,CHI,5.2,1.1,0.5,1.3
Julian Strawther,DEN,5.1,1.0,1.0,0.9
Delon Wright,WAS,5.0,4.4,2.5,0.5
Mason Plumlee,LAC,5.0,1.0,5.5,0.0
Ochai Agbaji,UTA,4.9,1.0,2.6,1.0
Davion Mitchell,SAC,4.8,2.8,1.2,0.9
Dwight Powell,DAL,4.7,1.5,3.4,0.1
Torrey Craig,CHI,4.7,1.1,4.9,0.6
Aaron Wiggins,OKC,4.6,0.7,2.0,0.4
Anthony Black,ORL,4.6,1.3,2.1,0.3
Robert Covington,PHI,4.6,0.9,3.1,0.6
Chris Duarte,SAC,4.5,1.1,2.1,0.9
"Paul Reed, Jr.",PHI,4.5,0.9,4.5,0.1
Theo Maledon,CHA,4.5,2.2,1.9,0.4
Dante Exum,DAL,4.3,1.4,2.3,0.2
Jacob Gilyard,MEM,4.2,3.3,1.4,1.2
J.T. Thor,CHA,4.1,0.7,3.0,0.8
Peyton Watson,DEN,4.1,0.8,1.8,0.3
Joe Ingles,ORL,4.0,3.2,2.5,0.9
Gradey Dick,TOR,3.9,1.0,1.5,0.7
Kris Dunn,UTA,3.6,1.9,1.8,0.3
"Larry Nance, Jr.",NOP,3.5,0.6,4.2,0.2
"Kira Lewis, Jr.",NOP,3.5,1.6,0.9,0.2
Joe Harris,DET,3.4,0.9,1.0,0.9
Jaxson Hayes,LAL,3.3,0.4,1.7,0.0
Charles Bassey,SAS,3.2,1.1,3.8,0.0
Zeke Nnaji,DEN,3.2,0.5,2.0,0.2
Jaden Springer,PHI,3.2,0.9,2.0,0.3
"Troy Brown, Jr.",MIN,3.1,0.6,2.8,0.3
Seth Curry,DAL,3.1,0.7,1.1,0.4
Dean Wade,CLE,3.1,0.8,4.1,0.9
John Konchar,MEM,3.0,1.7,4.2,0.6
Trayce Jackson-Davis,GSW,3.0,0.5,1.8,0.0
"Kenny Lofton, Jr.",MEM,2.8,1.0,1.0,0.2
Tristan Thompson,CLE,2.5,0.8,2.5,0.0
Furkan Korkmaz,PHI,2.4,0.3,0.6,0.4
Patrick Beverley,PHI,2.3,1.9,2.9,0.2
Jalen McDaniels,TOR,2.1,0.6,1.2,0.3
Miles McBride,NYK,1.9,0.2,0.3,0.4
"Andre Jackson, Jr.",MIL,1.8,0.8,1.4,0.3
Cody Zeller,NOP,1.8,1.2,3.5,0.0
Jock Landale,HOU,1.6,0.7,2.0,0.2
P.J. Tucker,LAC,1.4,0.5,3.1,0.4
Kessler Edwards,SAC,1.4,0.4,1.0,0.3
Jordan McLaughlin,MIN,1.0,1.0,0.0,0.2
